AMFI Code,Fund Name,Category,1Y CAGR (%),3Y CAGR (%),5Y CAGR (%),Risk Score,Score
111549,Quantum ELSS Tax Saver Fund,ELSS (Tax Saving),-4.1485216594086545,11.75854520979036,10.983430301751662,4,3.8551271258742164
119133,Groww Largecap Fund (formerly known as Indiabulls Blue Chip Fund),Index / Large Cap,1.9547125991871361,13.072188853091316,11.166209659603021,5,3.8433133118547893
141808,Groww ELSS Tax Saver Fund (formerly known as Indiabulls Tax Savings Fund),ELSS (Tax Saving),-3.9181541140618115,11.713880932083054,10.46125254176895,4,3.828328559249832
151781,Kotak Nifty 200 Momentum 30 Index Fund,Index / Large Cap,1.405567685589526,13.015039465186584,,5,3.8090236791119505
130503,HDFC Small Cap Fund,Small Cap,-0.10682243394607438,12.981283492257933,16.925539539492917,5,3.78877009535476
118473,BANDHAN ELSS Tax Saver Fund,ELSS (Tax Saving),3.5617629725415156,11.57831188616969,13.510302581074264,4,3.7469871317018137
150452,ICICI Prudential Nifty 200 Momentum 30 Index Fund,Index / Large Cap,1.3043192111860336,12.789311433355666,,5,3.6735868600133994
147481,Parag Parikh ELSS Tax Saver Fund,ELSS (Tax Saving),-7.281960980956937,11.412067503814495,12.926447162950216,4,3.647240502288696
JNK,SPDR Bloomberg High Yield Bond ETF,International,5.524356403439223,8.744111452611358,3.7482431625932344,2,3.646466871566815
HYG,iShares iBoxx USD High Yield Corp Bond,International,4.863547646510513,8.622623877906621,3.833844755955207,2,3.5735743267439726
150591,BANDHAN NIFTY200 MOMENTUM 30 INDEX FUND,Index / Large Cap,1.151437227894192,12.615306533952154,,5,3.569183920371292
119250,DSP Large Cap Fund,Index / Large Cap,-1.694649149671068,12.513922312933467,10.820365427133694,5,3.5083533877600797
120715,UTI ELSS Tax Saver Fund,ELSS (Tax Saving),0.3317460538306838,11.059074577179251,9.485930617959637,4,3.4354447463075504
150344,Tata Nifty India Digital ETF Fund of Fund,Index / Large Cap,-3.40177729440998,12.374631240094015,,5,3.4247787440564084
135601,PGIM India ELSS Tax Saver Fund,ELSS (Tax Saving),1.3909587680079438,10.860558910301732,11.809841645079345,4,3.316335346181039
139781,Mahindra Manulife ELSS Tax Saver Fund,ELSS (Tax Saving),-0.8382407396347324,10.809429934631986,11.5025532590723,4,3.285657960779191
EMB,iShares J.P. Morgan USD Emerging Mkts,International,5.544818319586042,9.412554609073132,1.5209677686618406,3,3.2475327654438786
148703,UTI Nifty 200 Momentum 30 Index Fund,Index / Large Cap,1.439200590344858,13.300355818395172,11.641031564866221,6,3.180213491037102
149570,Sundaram ELSS Tax Saver Fund Direct Plan Growth,ELSS (Tax Saving),-2.5168183101579755,10.49229724378733,,4,3.0953783462723976
ILF,iShares Latin America 40 ETF,International,31.40000392191764,14.397279504885784,10.694721166782074,7,3.0383677029314695
XLV,Health Care Select Sector SPDR,International,27.08404500954551,10.154382426036236,6.437979574698471,4,2.8926294556217407
VNQ,Vanguard Real Estate ETF,International,14.048648222252824,10.974241808259855,2.3074089215679106,5,2.584545084955913
SHY,iShares 1-3 Year Treasury Bond ETF,International,2.5387448764129905,4.126838027769808,1.8009015808318596,1,1.6761028166618848
145819,Shriram ELSS Tax Saver Fund,ELSS (Tax Saving),1.2515702786953797,9.386770982913607,9.314023163032225,5,1.6320625897481635
PFF,iShares Preferred and Income Sec ETF,International,1.5196240525003901,6.476616544081404,0.7550339421780405,3,1.485969926448842
LQD,iShares iBoxx USD Investment Grade,International,0.6509423496770417,4.996572282041023,-0.972395661877079,2,1.3979433692246137
EWW,iShares MSCI Mexico ETF,International,25.846706569530564,10.206989693132474,11.907658048586999,6,1.3241938158794833
MUB,iShares National Muni Bond ETF,International,4.566234384122114,3.181292390199264,0.5787499371540772,1,1.1087754341195584
AGG,iShares Core US Aggregate Bond,International,2.486991598463728,4.480617989462599,-0.27281083497933123,2,1.088370793677559
TIP,iShares TIPS Bond ETF,International,1.4466094532713525,3.9331471587902733,0.15334212174917816,2,0.7598882952741639
XRT,SPDR S&P Retail ETF,International,4.162779667818928,11.695365217197606,0.3518728107984259,8,0.6172191303185635
IEF,iShares 7-10 Year Treasury Bond ETF,International,1.5118366239373904,3.4763581052226877,-1.699428448007434,2,0.48581486313361255
XHB,SPDR S&P Homebuilders ETF,International,-5.642572375450361,10.84427282313265,7.953864323395332,8,0.10656369387958975
150838,Samco ELSS Tax Saver Fund,ELSS (Tax Saving),0.21660649819494893,6.163972045708377,,5,-0.3016167725749739
INDA,iShares MSCI India ETF,International,-7.700932582962183,4.704259273087064,2.895173131884099,4,-0.377444436147762
MCHI,iShares MSCI China ETF,International,-6.829917037959488,11.001312897012872,-2.079938065333531,9,-0.5992122617922773
EWZ,iShares MSCI Brazil ETF,International,24.47127640553479,9.540512562652893,7.384522864938625,8,-0.6756924624082652
LIT,Global X Lithium & Battery ETF,International,61.1328218421654,10.105593313595618,-0.9107677107028977,9,-1.1366440118426295
ITB,iShares U.S. Home Construction ETF,International,-11.174950115317749,5.869842258639135,7.167620683649201,8,-2.878094644816519
ICLN,iShares Global Clean Energy ETF,International,23.71295184843467,5.1597857801062075,-3.2168605290854413,8,-3.304128531936276
TLT,iShares 20+ Year Treasury Bond ETF,International,-0.8719710903208888,-0.4017576032500192,-8.23893616130058,4,-3.4410545619500117
KWEB,KraneShares China Internet,International,-24.25613347254526,3.6300481561693854,-6.839370906385622,10,-5.821971106298369
PBW,Invesco WilderHill Clean Energy ETF,International,34.85597906045832,0.01856467186438504,-13.257333800250393,10,-7.988861196881369
TAN,Invesco Solar ETF,International,19.621013611488113,-4.17526581428419,-8.722307648311379,10,-10.505159488570513
